id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9631387,Coole Wohnung in Prenzlauer Berg,45368929,Astrid & Ingmar,Pankow,Prenzlauer Berg Süd,52.532792494660185,13.437114743665456,Entire home/apt,100,4,4,2017-05-02,0.13,1,0
9631438,Beautiful Sunrise Room Berlin,49812588,Ronja,Neukölln,Rixdorf,52.48239010644868,13.455027584935983,Private room,16,1,28,2018-10-08,0.88,2,1
9632005,Cosy design flat in Prenzlauerberg,7552025,Farid,Pankow,Prenzlauer Berg Ost,52.53660674351918,13.436102267100525,Entire home/apt,180,3,20,2018-10-13,0.58,2,14
9637148,"Großes, schönes Zimmer in Berlin",49838469,Jacob,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51116524197871,13.452986186387374,Private room,18,1,0,,,1,0
9638686,Cosy flat in Prenzlauer Berg,49845399,Daniel,Pankow,Helmholtzplatz,52.53921277850139,13.42458467129154,Entire home/apt,80,3,7,2018-08-16,0.2,1,0
9638996,Beautiful 2 room apartment in central Kreuzberg,49846799,David,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49324093934696,13.40198309357443,Entire home/apt,90,4,1,2018-07-22,0.28,1,0
9640138,Berlin Mitte - Stylish and Relaxed.,49850828,Benjamin,Mitte,Brunnenstr. Süd,52.536379684508034,13.378984524991294,Entire home/apt,45,60,3,2018-01-28,0.15,1,133
9644775,Spacious apartment Kreuzberg Berlin,19099027,Shem,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49393475591008,13.43208792571003,Entire home/apt,65,2,2,2016-04-05,0.06,1,0
9646329,Cozy apartment in save area,19553425,Delia,Lichtenberg,Alt-Hohenschönhausen Süd,52.54091539642332,13.488593445912723,Private room,30,2,7,2018-10-09,0.2,1,221
9648387,Gemütlich-zentrale Wohnung in Pberg,49883896,Sigrun,Pankow,Helmholtzplatz,52.54385563331202,13.420457773463294,Entire home/apt,60,5,2,2016-01-13,0.06,1,0
9649008,13m room nearby Sbhf/U5 Lichtenberg,49886038,Giul,Lichtenberg,Friedrichsfelde Nord,52.51226249888907,13.504711427339878,Private room,19,1,0,,,1,0
9649050,Wohnung im Wedding/ Flat at Berlin,49886297,Lisa,Mitte,Osloer Straße,52.56455471866913,13.389797357879312,Entire home/apt,26,1,0,,,1,0
